episode,total_steps,episode_steps,reward
1,218,218,80.0
2,437,219,80.0
3,593,156,50.0
4,903,310,45.0
5,1053,150,20.0
6,1198,145,40.0
7,1391,193,55.0
8,1533,142,15.0
9,1744,211,30.0
10,2103,359,105.0
11,2290,187,35.0
12,2490,200,10.0
13,2670,180,30.0
14,3156,486,225.0
15,3370,214,65.0
16,3511,141,0.0
17,3876,365,265.0
18,4098,222,20.0
19,4237,139,15.0
20,4427,190,15.0
21,4958,531,205.0
22,5098,140,0.0
23,5244,146,5.0
24,5548,304,95.0
25,5685,137,10.0
26,5914,229,85.0
27,6087,173,45.0
28,6238,151,15.0
29,6435,197,5.0
30,6610,175,5.0
31,6694,84,5.0
32,6869,175,30.0
33,7062,193,90.0
34,7224,162,80.0
35,7540,316,135.0
36,7746,206,50.0
37,7913,167,75.0
38,8143,230,120.0
39,8369,226,40.0
40,8555,186,50.0
41,8647,92,5.0
42,8797,150,5.0
43,8958,161,30.0
44,9161,203,65.0
45,9559,398,105.0
46,9780,221,75.0
47,9895,115,5.0
48,10275,380,110.0
49,10522,247,80.0
50,10908,386,130.0
51,11572,664,375.0
52,11851,279,105.0
53,12000,149,0.0
54,12178,178,50.0
55,12387,209,5.0
56,12603,216,105.0
57,12812,209,30.0
58,12951,139,30.0
59,13109,158,30.0
60,13257,148,30.0
61,13400,143,15.0
62,13563,163,25.0
63,13758,195,25.0
64,13904,146,5.0
65,14013,109,35.0
66,14198,185,50.0
67,14464,266,110.0
68,14644,180,20.0
69,14787,143,0.0
70,14956,169,50.0
71,15152,196,105.0
72,15308,156,5.0
73,15500,192,15.0
74,15653,153,15.0
75,15851,198,75.0
76,15993,142,15.0
77,16327,334,60.0
78,16545,218,50.0
79,16732,187,45.0
80,16883,151,20.0
81,17036,153,25.0
82,17371,335,60.0
83,17544,173,30.0
84,17694,150,50.0
85,17845,151,30.0
86,18340,495,180.0
87,18492,152,30.0
88,18798,306,80.0
89,18952,154,70.0
90,19163,211,60.0
91,19369,206,35.0
92,19517,148,5.0
93,19680,163,35.0
94,19836,156,70.0
95,19984,148,5.0
96,20163,179,35.0
